Operation,Occupation
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,47
50,48
51,49
52,50
53,51
54,52
55,53
56,54
57,55
58,56
59,57
60,58
61,59
62,60
63,61
64,62
65,63
66,64
67,65
68,66
69,67
70,68
71,69
72,70
73,71
74,72
75,73
76,74
77,75
78,76
79,77
80,78
81,79
82,80
83,81
84,82
85,83
86,84
87,85
88,86
89,87
90,88
91,89
92,90
93,91
94,92
95,93
96,94
97,95
98,96
99,97
100,98
101,99
102,100
103,99
104,100
105,99
106,100
107,99
108,100
109,99
110,100
111,99
112,98
113,97
114,98
115,99
116,100
117,99
118,98
119,97
120,96
121,95
122,94
123,93
124,92
125,91
126,90
127,89
128,88
129,87
130,86
131,85
132,84
133,85
134,86
135,87
136,88
137,89
138,90
139,91
140,92
141,93
142,94
143,95
144,94
145,93
146,94
147,95
148,96
149,97
150,98
151,99
152,100
153,99
154,98
155,97
156,96
157,95
158,94
159,93
160,92
161,91
162,90
163,89
164,88
165,87
166,86
167,85
168,84
169,83
170,82
171,81
172,80
173,79
174,78
175,77
176,76
177,75
178,74
179,73
180,74
181,75
182,76
183,77
184,78
185,79
186,80
187,81
188,82
189,83
190,84
191,85
192,86
193,87
194,88
195,89
196,90
197,91
198,92
199,93
200,94
201,95
202,94
203,93
204,94
205,95
206,96
207,97
208,98
209,99
210,100
211,99
212,98
213,97
214,96
215,95
216,96
217,97
218,98
219,99
220,100
221,99
222,98
223,97
224,96
225,95
226,94
227,93
228,92
229,91
230,90
231,89
232,88
233,87
234,86
235,85
236,84
237,83
238,82
239,81
240,80
241,81
242,82
243,83
244,84
245,85
246,86
247,87
248,88
249,87
250,88
251,89
252,90
253,91
254,92
255,93
256,94
257,95
258,96
259,97
260,98
261,99
262,98
263,97
264,96
265,95
266,94
267,95
268,96
269,97
270,98
271,99
272,100
273,99
274,98
275,97
276,96
277,95
278,96
279,97
280,98
281,99
282,100
283,99
284,98
285,97
286,96
287,95
288,94
289,93
290,92
291,91
292,90
293,89
294,88
295,87
296,86
297,85
298,84
299,83
300,82
301,81
302,80
303,79
304,78
305,77
306,78
307,77
308,76
309,75
310,74
311,73
312,72
313,71
314,70
315,69
316,68
317,67
318,66
319,65
320,64
321,63
322,62
323,61
324,60
325,59
326,58
327,57
328,56
329,55
330,54
331,53
332,52
333,51
334,50
335,49
336,48
337,47
338,46
339,45
340,44
341,43
342,42
343,41
344,40
345,39
346,38
347,37
348,36
349,37
350,38
351,39
352,40
353,41
354,42
355,43
356,44
357,45
358,46
359,47
360,48
361,49
362,50
363,51
364,52
365,53
366,54
367,55
368,56
369,57
370,58
371,59
372,60
373,61
374,62
375,63
376,64
377,65
378,66
379,67
380,68
381,69
382,70
383,71
384,72
385,73
386,74
387,75
388,76
389,77
390,78
391,79
392,80
393,79
394,78
395,77
396,78
397,79
398,80
399,81
400,82
401,83
402,84
403,85
404,86
405,87
406,88
407,89
408,90
409,91
410,92
411,93
412,94
413,95
414,96
415,97
416,98
417,99
418,100
419,99
420,98
421,97
422,96
423,95
424,94
425,95
426,96
427,97
428,98
429,99
430,100
431,99
432,98
433,97
434,96
435,95
436,94
437,93
438,92
439,91
440,90
441,89
442,88
443,87
444,88
445,89
446,90
447,91
448,92
449,93
450,94
451,95
452,96
453,97
454,98
455,99
456,100
457,99
458,98
459,97
460,96
461,95
462,94
463,93
464,92
465,91
466,90
467,89
468,90
469,91
470,92
471,93
472,94
473,95
474,96
475,97
476,98
477,99
478,100
479,99
480,98
481,97
482,96
483,95
484,94
485,93
486,92
487,91
488,90
489,89
490,88
491,87
492,86
493,85
494,84
495,83
496,82
497,81
498,80
499,79
500,78
501,77
502,76
503,75
504,74
505,73
506,72
507,71
508,70
509,69
510,68
511,67
512,66
513,65
514,64
515,63
516,62
517,61
518,60
519,59
520,58
521,57
522,56
523,55
524,56
525,57
526,58
527,59
528,60
529,61
530,62
531,63
532,64
533,65
534,66
535,67
536,68
537,69
538,70
539,71
540,72
541,73
542,74
543,75
544,76
545,77
546,78
547,79
548,78
549,77
550,78
551,79
552,80
553,81
554,82
555,83
556,84
557,85
558,86
559,87
560,88
561,89
562,90
563,91
564,92
565,93
566,94
567,95
568,96
569,97
570,98
571,99
572,100
573,99
574,98
575,97
576,96
577,95
578,96
579,97
580,98
581,99
582,100
583,99
584,98
585,97
586,96
587,95
588,94
589,93
590,92
591,91
592,92
593,93
594,94
595,95
596,96
597,97
598,98
599,99
600,100
601,99
602,98
603,97
604,98
605,99
606,100
607,99
608,98
609,97
610,96
611,97
612,98
613,99
614,100
615,99
616,100
617,99
618,98
619,97
620,96
621,95
622,94
623,95
624,94
625,93
626,92
627,93
628,94
629,95
630,96
631,97
632,98
633,99
634,100
635,99
636,98
637,97
638,96
639,95
640,94
641,93
642,92
643,91
644,90
645,89
646,88
647,87
648,86
649,87
650,88
651,89
652,90
653,91
654,92
655,93
656,94
657,95
658,96
659,97
660,98
661,99
662,100
663,99
664,98
665,97
666,96
667,95
668,94
669,93
670,92
671,93
672,94
673,95
674,96
675,97
676,98
677,99
678,100
679,99
680,98
681,97
682,96
683,95
684,94
685,93
686,92
687,91
688,90
689,89
690,88
691,87
692,88
693,89
694,90
695,91
696,92
697,93
698,94
699,95
700,96
701,97
702,98
703,99
704,100
705,99
706,100
707,99
708,98
709,97
710,96
711,95
712,94
713,93
714,92
715,91
716,90
717,89
718,88
719,87
720,86
721,85
722,84
723,85
724,86
725,87
726,88
727,89
728,90
729,91
730,90
731,89
732,88
733,87
734,86
735,85
736,84
737,83
738,82
739,81
740,80
741,79
742,78
743,77
744,78
745,79
746,80
747,81
748,82
749,83
750,84
751,85
752,86
753,87
754,88
755,89
756,90
757,91
758,92
759,93
760,94
761,95
762,96
763,97
764,98
765,99
766,100
767,99
768,98
769,97
770,96
771,95
772,94
773,93
774,92
775,91
776,90
777,89
778,88
779,87
780,88
781,89
782,90
783,91
784,92
785,93
786,94
787,95
788,96
789,97
790,98
791,99
792,100
793,99
794,98
795,97
796,96
797,95
798,94
799,95
800,96
801,97
802,98
803,99
804,100
805,99
806,98
807,97
808,98
809,99
810,100
811,99
812,98
813,97
814,96
815,95
816,94
817,93
818,92
819,91
820,90
821,89
822,88
823,87
824,86
825,85
826,84
827,85
828,86
829,87
830,88
831,89
832,90
833,91
834,92
835,93
836,94
837,95
838,96
839,97
840,98
841,99
842,100
843,99
844,98
845,97
846,96
847,95
848,94
849,93
850,92
851,91
852,90
853,89
854,88
855,87
856,86
857,85
858,84
859,83
860,82
861,81
862,80
863,79
864,80
865,81
866,82
867,83
868,84
869,85
870,86
871,87
872,88
873,89
874,90
875,91
876,92
877,93
878,94
879,95
880,96
881,97
882,98
883,99
884,100
885,99
886,98
887,97
888,96
889,97
890,98
891,99
892,100
893,99
894,98
895,97
896,96
897,97
898,98
899,99
900,100
901,99
902,98
903,97
904,96
905,95
906,94
907,93
908,92
909,91
910,90
911,89
912,88
913,87
914,86
915,85
916,84
917,83
918,82
919,81
920,82
921,83
922,84
923,85
924,86
925,87
926,88
927,89
928,90
929,91
930,92
931,93
932,94
933,95
934,96
935,97
936,98
937,99
938,100
939,99
940,98
941,97
942,96
943,95
944,94
945,93
946,92
947,91
948,90
949,89
950,88
951,87
952,88
953,89
954,90
955,91
956,92
957,93
958,94
959,95
960,96
961,97
962,98
963,99
964,100
965,99
966,98
967,97
968,96
969,95
970,94
971,93
972,92
973,91
974,90
975,89
976,88
977,87
978,86
979,85
980,86
981,87
982,88
983,89
984,90
985,91
986,92
987,93
988,94
989,95
990,96
991,97
992,98
993,99
994,100
995,99
996,98
997,97
998,96
999,95
1000,94
1001,95
1002,96
1003,97
1004,98
1005,99
1006,100
1007,99
1008,100
1009,99
1010,98
1011,97
1012,98
1013,99
1014,100
1015,99
1016,98
1017,97
1018,98
1019,99
1020,100
1021,99
1022,98
1023,97
1024,96
1025,95
1026,94
1027,93
1028,92
1029,91
1030,90
1031,89
1032,90
1033,91
1034,92
1035,93
1036,94
1037,95
1038,96
1039,97
1040,98
1041,99
1042,98
1043,97
1044,96
1045,95
1046,94
1047,93
1048,92
1049,91
1050,90
1051,89
1052,88
1053,87
1054,86
1055,85
1056,84
1057,83
1058,84
1059,85
