Operation,Occupation
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,30
33,31
34,32
35,33
36,34
37,35
38,36
39,37
40,36
41,37
42,38
43,39
44,40
45,41
46,42
47,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
55,51
56,52
57,53
58,54
59,55
60,54
61,55
62,56
63,57
64,58
65,59
66,60
67,61
68,62
69,63
70,64
71,65
72,66
73,67
74,68
75,69
76,70
77,69
78,70
79,71
80,72
81,73
82,74
83,75
84,76
85,77
86,78
87,79
88,80
89,81
90,82
91,83
92,84
93,85
94,86
95,87
96,88
97,89
98,90
99,91
100,92
101,93
102,94
103,95
104,96
105,97
106,98
107,99
108,100
109,99
110,100
111,99
112,98
113,97
114,96
115,95
116,94
117,93
118,94
119,95
120,96
121,97
122,98
123,99
124,100
125,99
126,98
127,97
128,96
129,95
130,94
131,93
132,92
133,93
134,94
135,95
136,96
137,97
138,98
139,99
140,100
141,99
142,98
143,97
144,96
145,95
146,94
147,93
148,92
149,91
150,90
151,91
152,90
153,91
154,92
155,93
156,94
157,95
158,96
159,97
160,98
161,99
162,100
163,99
164,98
165,97
166,96
167,95
168,96
169,97
170,98
171,99
172,100
173,99
174,98
175,97
176,96
177,97
178,96
179,95
180,94
181,93
182,92
183,93
184,94
185,95
186,96
187,97
188,98
189,99
190,100
191,99
192,98
193,97
194,96
195,95
196,94
197,93
198,92
199,91
200,90
201,89
202,88
203,87
204,86
205,85
206,84
207,83
208,82
209,81
210,80
211,79
212,78
213,77
214,76
215,75
216,74
217,73
218,72
219,71
220,70
221,69
222,68
223,67
224,66
225,65
226,64
227,63
228,62
229,61
230,60
231,59
232,60
233,61
234,62
235,63
236,64
237,65
238,66
239,67
240,68
241,69
242,70
243,71
244,72
245,73
246,74
247,73
248,72
249,71
250,70
251,69
252,68
253,67
254,66
255,67
256,68
257,69
258,70
259,71
260,72
261,73
262,74
263,75
264,76
265,77
266,78
267,79
268,80
269,81
270,82
271,81
272,80
273,81
274,82
275,83
276,84
277,85
278,86
279,85
280,84
281,83
282,82
283,81
284,80
285,79
286,78
287,79
288,80
289,81
290,82
291,83
292,84
293,85
294,86
295,85
296,84
297,83
298,82
299,81
300,80
301,79
302,78
303,77
304,76
305,75
306,74
307,73
308,72
309,71
310,70
311,69
312,68
313,67
314,66
315,67
316,66
317,65
318,66
319,67
320,68
321,69
322,70
323,71
324,72
325,71
326,70
327,69
328,68
329,67
330,66
331,65
332,66
333,65
334,64
335,63
336,64
337,65
338,64
339,63
340,62
341,61
342,60
343,59
344,58
345,57
346,56
347,55
348,54
349,53
350,52
351,51
352,50
353,49
354,48
355,47
356,48
357,47
358,46
359,45
360,44
361,45
362,46
363,47
364,48
365,49
366,48
367,47
368,48
369,49
370,50
371,51
372,52
373,53
374,54
375,55
376,56
377,57
378,58
379,59
380,60
381,61
382,62
383,63
384,64
385,65
386,66
387,67
388,68
389,69
390,70
391,71
392,72
393,71
394,72
395,71
396,70
397,69
398,68
399,67
400,66
401,65
402,66
403,67
404,68
405,69
406,70
407,71
408,72
409,71
410,70
411,69
412,68
413,67
414,68
415,67
416,66
417,65
418,66
419,67
420,68
421,69
422,70
423,69
424,70
425,71
426,72
427,73
428,74
429,75
430,74
431,73
432,72
433,71
434,72
435,71
436,70
437,69
438,68
439,67
440,66
441,65
442,64
443,63
444,62
445,61
446,60
447,59
448,58
449,57
450,56
451,57
452,58
453,57
454,56
455,55
456,54
457,55
458,56
459,57
460,58
461,59
462,60
463,61
464,62
465,63
466,64
467,65
468,66
469,67
470,68
471,69
472,70
473,71
474,72
475,73
476,74
477,75
478,76
479,77
480,78
481,79
482,80
483,81
484,82
485,83
486,84
487,85
488,86
489,85
490,84
491,85
492,86
493,87
494,88
495,87
496,86
497,85
498,84
499,83
500,84
501,85
502,84
503,83
504,82
505,81
506,80
507,79
508,78
509,77
510,76
511,75
512,74
513,75
514,76
515,77
516,78
517,79
518,80
519,81
520,82
521,83
522,84
523,85
524,84
525,83
526,82
527,83
528,84
529,85
530,86
531,87
532,88
533,89
534,90
535,91
536,92
537,93
538,94
539,93
540,92
541,91
542,90
543,89
544,88
545,87
546,86
547,85
548,84
549,83
550,82
551,81
552,80
553,79
554,80
555,79
556,78
557,77
558,76
559,75
560,74
561,73
562,72
563,73
564,74
565,75
566,76
567,77
568,78
569,79
570,80
571,81
572,82
573,81
574,80
575,79
576,80
577,79
578,78
579,79
580,80
581,81
582,82
583,83
584,84
585,85
586,86
587,87
588,88
589,87
590,86
591,85
592,84
593,83
594,82
595,81
596,80
597,79
598,78
599,77
600,76
601,75
602,74
603,73
604,72
605,71
606,72
607,71
608,70
609,69
610,68
611,67
612,66
613,65
614,64
615,63
616,62
617,61
618,60
619,59
620,58
621,57
622,56
623,55
624,54
625,55
626,56
627,57
628,58
629,59
630,60
631,61
632,60
633,59
634,58
635,57
636,56
637,55
638,56
639,57
640,58
641,59
642,60
643,61
644,62
645,63
646,64
647,65
648,66
649,65
650,64
651,63
652,62
653,61
654,60
655,61
656,60
657,61
658,62
659,63
660,64
661,65
662,64
663,63
664,62
665,61
666,60
667,61
668,62
669,63
670,64
671,65
672,66
673,67
674,68
675,69
676,68
677,67
678,66
679,65
680,64
681,63
682,62
683,61
684,60
685,59
686,58
687,57
688,56
689,57
690,58
691,59
692,60
693,59
694,58
695,57
696,56
697,55
698,54
699,53
700,52
701,53
702,54
703,55
704,56
705,55
706,54
707,55
708,56
709,57
710,58
711,59
712,60
713,61
714,62
715,63
716,64
717,65
718,66
719,67
720,68
721,69
722,70
723,71
724,72
725,73
726,74
727,75
728,76
729,75
730,76
731,75
732,74
733,73
734,72
735,71
736,70
737,69
738,70
739,71
740,72
741,73
742,74
743,75
744,76
745,75
746,74
747,75
748,76
749,75
750,74
751,73
752,72
753,71
754,70
755,71
756,72
757,73
758,74
759,75
760,76
761,77
762,78
763,79
764,80
765,81
766,82
767,83
768,84
769,85
770,86
771,87
772,88
773,89
774,90
775,91
776,92
777,93
778,94
779,93
780,92
781,91
782,90
783,91
784,90
785,89
786,88
787,87
788,86
789,87
790,88
791,89
792,90
793,91
794,92
795,93
796,94
797,93
798,92
799,93
800,94
801,95
802,96
803,97
804,98
805,99
806,100
807,99
808,98
809,97
810,96
811,95
812,94
813,93
814,92
815,91
816,90
817,89
818,88
819,87
820,86
821,85
822,84
823,83
824,82
825,81
826,80
827,79
828,78
829,77
830,76
831,75
832,74
833,73
834,72
835,71
836,70
837,69
838,68
839,67
840,66
841,65
842,64
843,63
844,62
845,61
846,60
847,59
848,58
849,57
850,56
851,55
852,54
853,53
854,52
855,51
856,52
857,53
858,54
859,53
860,52
861,51
862,50
863,49
864,48
865,47
866,46
867,47
868,48
869,49
870,50
871,51
872,52
873,53
874,54
875,53
876,54
877,53
878,54
879,55
880,56
881,57
882,58
883,59
884,60
885,61
886,62
887,63
888,64
889,65
890,64
891,63
892,62
893,61
894,60
895,61
896,62
897,63
898,64
899,65
900,66
901,67
902,68
903,69
904,70
905,71
906,70
907,71
908,72
909,73
910,74
911,75
912,76
913,77
914,78
915,77
916,76
917,75
918,74
919,73
920,72
921,73
922,74
923,75
924,76
925,77
926,78
927,79
928,78
929,77
930,76
931,75
932,74
933,73
934,72
935,71
936,70
937,69
938,68
939,67
940,66
941,65
942,64
943,63
944,62
945,61
946,60
947,59
948,58
949,57
950,56
951,55
952,54
953,53
954,52
955,51
956,50
957,49
958,48
959,47
960,46
961,45
962,44
963,43
964,42
965,41
966,40
967,39
968,38
969,37
970,36
971,35
972,34
973,33
974,32
975,31
976,30
977,29
978,28
979,27
980,26
981,25
982,24
983,25
984,26
985,27
986,28
987,27
988,26
989,27
990,26
991,25
992,24
993,23
994,22
995,21
996,20
997,19
998,18
999,17
1000,18
1001,17
1002,16
1003,17
1004,16
1005,15
1006,14
1007,13
1008,12
1009,13
1010,12
1011,11
1012,12
1013,13
1014,14
1015,15
1016,16
1017,17
1018,18
1019,19
1020,20
1021,21
1022,22
1023,21
1024,20
1025,21
1026,22
1027,23
1028,24
1029,25
1030,26
1031,27
1032,26
1033,25
1034,24
1035,23
1036,22
1037,21
1038,22
1039,23
1040,24
1041,25
1042,26
1043,27
1044,28
1045,29
1046,30
1047,31
1048,32
1049,33
1050,32
1051,33
1052,34
1053,35
1054,36
1055,37
1056,38
1057,39
1058,40
1059,41
